product_id,base_price,cost,inventory_level,inventory_threshold_low,route,departure_date
sku-1,49.99,30.00,5,10,,
sku-2,19.99,10.00,120,20,,
sku-3,99.50,55.00,8,15,,
sku-4,15.00,9.00,300,50,,
sku-5,249.99,150.00,12,10,,
sku-6,7.25,3.00,500,100,,
sku-7,64.00,40.00,2,10,,
sku-8,120.00,70.00,45,10,,
sku-9,34.99,20.00,0,10,,
sku-10,89.00,60.00,25,10,,
flight-jfk-lax-2026-10-15,410.00,240.00,42,15,JFK-LAX,2026-10-15
flight-sfo-ord-2026-10-20,320.00,190.00,88,20,SFO-ORD,2026-10-20
flight-bos-dca-2026-11-01,175.00,95.00,12,10,BOS-DCA,2026-11-01
flight-mia-jfk-2026-10-25,255.00,140.00,60,15,MIA-JFK,2026-10-25
flight-lax-sea-2026-11-10,205.00,120.00,30,10,LAX-SEA,2026-11-10
